CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;;;;
Quantidade por Ano/mês compet. e Esfera Administrativa;;;;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;
Atende no SUS: Sim;;;;;;
Período:Ago/20070Jun/2021;;;;;;
Ano/mês compet.;Federal;Estadual;Municipal;Privada;Esfera não informada;Total
2019/Abr;0;0;0;0;994;994
2019/Mai;0;0;0;0;998;998
2019/Jun;0;0;0;0;993;993
2019/Jul;0;0;0;0;1001;1001
2019/Ago;0;0;0;0;1004;1004
2019/Set;0;0;0;0;1009;1009
2019/Out;0;0;0;0;1003;1003
2019/Nov;0;0;0;0;1005;1005
2019/Dez;0;0;0;0;1004;1004
2020/Jan;0;0;0;0;998;998
2020/Fev;0;0;0;0;995;995
2020/Mar;0;0;0;0;991;991
2020/Abr;0;0;0;0;991;991
2020/Mai;0;0;0;0;988;988
2020/Jun;0;0;0;0;988;988
2020/Jul;0;0;0;0;993;993
2020/Ago;0;0;0;0;994;994
2020/Set;0;0;0;0;991;991
2020/Out;0;0;0;0;995;995
2020/Nov;0;0;0;0;993;993
2020/Dez;0;0;0;0;987;987
2021/Jan;0;0;0;0;988;988
2021/Fev;0;0;0;0;977;977
2021/Mar;0;0;0;0;974;974
2021/Abr;0;0;0;0;976;976
2021/Mai;0;0;0;0;983;983
2021/Jun;0;0;0;0;984;984
